participant_id,form_name,form_size,progress_bar,completion_time_ms,scanpath_length,saccade_velocity,fixation_count,avg_fixation_duration_ms,progress_fixations,progress_fixation_time_ms,attention_ratio,revisits
111,large_without,large,without,54217,54187.57929556002,1.2044206873848822,22,168.13636363636363,75,11678.0,0.2153936957042994,41
79,small_with,small,with,36488,52428.7253761311,1.5067092616168383,22,102.0909090909091,46,4715.0,0.12922056566542425,34
76,small_with,small,with,44513,82872.6129560897,2.0195728228232617,21,108.28571428571429,38,3815.0,0.08570529957540494,32
16,large_without,large,without,110204,111613.4398874233,1.1927882597134372,19,197.1578947368421,52,9643.0,0.08750136111211934,33
102,large_with,large,with,65249,59377.773937918915,0.9970143698851844,85,132.1764705882353,92,9332.0,0.14302134898619137,30
86,small_with,small,with,23078,35579.40385830162,1.6472439444818097,12,125.5,7,613.0,0.026562093768957448,6
8,small_without,small,without,45763,26011.036452147287,0.6512528480658548,20,281.8,19,3869.0,0.08454428249896204,15
23,large_with,large,with,100044,158522.4866713533,1.6601267167747082,58,108.0,106,11156.0,0.11151093518851705,67
109,large_with,large,with,14980,16401.54708539642,1.1682280338773932,10,95.8,30,3208.0,0.21415220293724965,17
14,large_with,large,with,39541,59733.56207480338,1.5743326045705364,23,96.17391304347827,53,5465.0,0.13821097089097392,30
103,large_with,large,with,47506,57173.53593147489,1.3226863888287679,39,108.53846153846153,120,12368.0,0.26034606155011997,54
96,small_without,small,without,29343,43501.57997778039,1.623136624849992,5,217.2,1,321.0,0.010939576730395665,1
80,small_with,small,with,46560,78257.394436117,1.7905772368402748,26,129.07692307692307,33,3450.0,0.0740979381443299,21
75,small_with,small,with,16159,26940.331481198486,1.8914728010699524,8,128.875,0,0.0,0.0,0
7,small_without,small,without,16085,12517.421306893886,0.8773919428170105,3,201.66666666666666,3,575.0,0.03574759092322039,3
109,large_with,large,with,64192,82150.5401668886,1.3290800822746878,58,109.89655172413794,115,11704.0,0.18232801595214357,54
107,large_without,large,without,100985,88513.39699138467,1.0143474834308197,27,215.74074074074073,89,18992.0,0.18806753478239344,41
4,small_without,small,without,35569,32321.351785658808,1.062572203470962,4,200.25,14,2659.0,0.07475610784672046,10
113,large_with,large,with,28251,49356.62082599021,1.8835169303129977,19,107.89473684210526,41,4373.0,0.15479098085023538,25
101,large_with,large,with,60479,91234.24043292545,1.666210315158401,28,113.35714285714286,108,11192.0,0.1850559698407712,58
104,large_without,large,without,92972,93320.8895748392,1.117718235751569,14,231.07142857142858,45,10311.0,0.11090435830142409,25
93,small_with,small,with,15577,13925.073702204965,0.9483148888725882,21,133.76190476190476,6,552.0,0.03543686204018746,6
91,small_without,small,without,6655,2117.1209005805877,0.5136029208078371,1,630.0,1,256.0,0.038467317806160785,1
98,small_with,small,with,24013,48818.05240717011,2.276671995822424,4,133.0,9,851.0,0.03543913713405239,7
85,small_without,small,without,28825,21040.094063279197,0.7948145083237247,10,180.0,5,1111.0,0.0385429314830876,5
97,small_with,small,with,23780,48022.070170681574,2.276596868725219,6,106.66666666666667,22,2413.0,0.10147182506307821,14
100,large_with,large,with,72776,133420.7138513746,1.9501763049911562,36,105.25,132,13749.0,0.1889221721446631,75
20,large_without,large,without,131649,109002.63102888619,0.9333617004798963,34,223.6764705882353,66,15908.0,0.12083646666514748,35
15,large_with,large,with,72410,96186.49303557015,1.4018283332692454,51,110.56862745098039,150,15784.0,0.21798094185885927,93
49,small_without,small,without,9379,7262.662743840075,0.9697540882228356,2,249.0,0,0.0,0.0,0
43,small_with,small,with,31636,40708.177165318506,1.3503561204713308,39,147.12820512820514,5,620.0,0.019597926412947275,4
57,small_without,small,without,30112,27592.789267679633,1.0161197333216345,4,218.75,4,1163.0,0.038622476089266736,4
74,small_without,small,without,26276,22944.556556165473,0.9447934407092929,13,183.0,17,2576.0,0.09803623078094079,12
62,small_without,small,without,34791,28145.707903798633,0.946800052325353,9,221.66666666666666,5,1254.0,0.036043804432180734,4
64,small_without,small,without,25000,28557.60736042676,1.2151207678512608,4,212.0,17,3379.0,0.13516,15
48,small_with,small,with,47263,74199.44213151839,1.7398381110946832,25,99.08,4,388.0,0.008209381545818082,4
58,small_without,small,without,24054,21007.880755390077,0.9250888644520419,6,220.5,4,751.0,0.031221418475097698,3
3,small_without,small,without,13884,12951.522728695409,1.1407551495178658,0,0.0,8,1765.0,0.12712474791126477,6
71,small_without,small,without,33184,29377.023180221106,0.9873998971532935,7,207.57142857142858,16,3266.0,0.09842092574734812,13
6,small_with,small,with,14181,28467.208789842007,2.1766904030437955,2,63.0,7,811.0,0.05718919681263663,6
40,small_with,small,with,39438,46272.384934213434,1.2746639084292128,29,129.86206896551724,30,3206.0,0.08129215477458289,22
60,small_with,small,with,24144,37050.66963374877,1.7099417655821898,12,83.75,12,1325.0,0.054879058979456594,8
5,small_with,small,with,10211,12342.221697308101,1.2785867382326301,6,126.83333333333333,8,942.0,0.09225345215943591,4
68,small_without,small,without,22457,31042.961308329777,1.5667228704417298,2,221.0,2,539.0,0.024001424945451308,2
73,small_with,small,with,26963,30333.24158317974,1.2378609455129501,19,105.6842105263158,14,1605.0,0.059526017134591845,10
52,small_without,small,without,28674,29668.308515976547,1.310482500295734,5,265.8,10,2489.0,0.08680337588058869,9
65,small_without,small,without,47636,49154.72133445885,1.1686799320516443,9,189.77777777777777,9,2011.0,0.04221597111428332,8
67,small_without,small,without,26972,19232.429134785416,0.7930205566511163,9,202.66666666666666,23,5211.0,0.19320035592466261,14
44,small_without,small,without,35837,61539.82335746075,1.7717613461108297,14,103.07142857142857,15,1530.0,0.042693305801266845,11
66,small_without,small,without,55844,59642.09467890029,1.1708974486954722,10,204.3,24,4942.0,0.08849652603681685,18
55,small_with,small,with,46078,65000.571834954615,1.5948366264350966,34,131.41176470588235,17,1868.0,0.04053995399105864,13
56,small_without,small,without,17692,13026.147430127214,0.9014788063601598,6,346.3333333333333,3,559.0,0.031596201673072574,3
61,small_without,small,without,69125,89686.48353957961,1.4377559089920187,6,221.16666666666666,26,5518.0,0.07982640144665461,22
51,small_with,small,with,21975,30923.307913913915,1.4869808655923622,13,117.0,22,2197.0,0.09997724687144482,15
45,small_with,small,with,33294,45198.37865655664,1.4871042248023558,26,129.26923076923077,26,2703.0,0.08118579924310687,13
29,small_with,small,with,26807,35513.338590853935,1.3643155363642858,19,110.6842105263158,19,1889.0,0.07046666915357928,15
31,small_without,small,without,37342,47177.56000609828,1.3970223387541552,23,104.26086956521739,2,224.0,0.005998607466123936,2
25,small_without,small,without,28089,16648.00964577112,0.7194022357345123,8,284.25,3,794.0,0.02826729324646659,3
20,small_without,small,without,37290,35508.546429853326,1.0111711164307726,9,193.66666666666666,3,611.0,0.01638508983641727,3
100,small_with,small,with,18013,29504.525744220122,1.7551167061056827,8,91.625,7,701.0,0.03891633820018875,5
24,small_without,small,without,24997,50978.2712332209,2.1663181584644406,4,127.75,11,1121.0,0.04484538144577349,8
36,small_without,small,without,31323,19090.377490604806,0.6851370318793071,13,328.7692307692308,5,1092.0,0.034862561057369984,5
41,small_without,small,without,27907,27527.346612066245,1.0655688501926222,3,180.0,3,586.0,0.020998315834736804,3
37,small_with,small,with,43473,67621.10710307409,1.6724994521280816,24,111.79166666666667,30,3482.0,0.08009569157868102,27
33,small_without,small,without,17863,16661.29543197895,1.0789820013324414,2,183.0,4,753.0,0.04215417343111459,2
28,small_without,small,without,26308,53619.384447795885,2.080782431606579,11,103.0,17,1819.0,0.06914246616998632,13
53,small_without,small,without,25583,26797.837825578412,1.172209211378408,7,219.85714285714286,1,395.0,0.015439940585545089,1
27,small_without,small,without,20132,32197.112864868173,1.8112522159040958,8,137.375,5,601.0,0.029852970395390425,5
17,small_without,small,without,28619,31334.56026271052,1.2371555590646917,7,213.0,6,1039.0,0.036304552919389214,6
23,small_with,small,with,65480,118823.6587531316,1.8519129249180517,24,104.33333333333333,58,5743.0,0.08770616982284667,36
27,small_without,small,without,31214,25165.205026746396,0.9236858298072933,6,247.16666666666666,3,802.0,0.025693599026078043,3
47,small_without,small,without,13244,10595.228343512079,0.8971309978183091,2,228.0,2,359.0,0.02710661431591664,1
30,small_without,small,without,21717,22348.977579318052,1.0941374382271525,3,114.66666666666667,4,648.0,0.029838375466224618,4
26,small_without,small,without,21772,20613.255133077175,1.0252242039863082,1,177.0,0,0.0,0.0,0
35,small_with,small,with,22356,38331.41066686284,1.8632425934145973,12,94.0,7,733.0,0.03278761853641081,6
18,small_without,small,without,37006,46961.64146237489,1.4316504278579274,26,111.53846153846153,21,2291.0,0.061908879641139274,14
48,small_with,small,with,14397,21596.973422507624,1.6272749136282723,5,106.4,2,207.0,0.014377995415711607,2
111,small_without,small,without,13371,18780.51928986005,1.5562707603886454,4,109.5,8,1424.0,0.1064991399296986,7
102,small_with,small,with,19830,21131.977652694186,1.115396866669065,23,141.8695652173913,4,327.0,0.01649016641452345,4
100,small_with,small,with,16825,27911.64147744715,1.9761299138454411,5,127.6,7,701.0,0.04166419019316493,5
113,small_with,small,with,28049,64964.08431209033,2.3567428286845122,8,97.5,8,692.0,0.024671111269563978,8
101,small_with,small,with,25343,34999.728452255826,1.427613874942566,18,128.72222222222223,13,1374.0,0.054216154362151284,10
107,small_without,small,without,17480,15971.74362035202,1.050054977167938,2,224.0,9,1812.0,0.10366132723112129,8
103,small_with,small,with,19665,32743.763537307976,1.844020243217596,14,92.28571428571429,29,2808.0,0.14279176201372998,18
114,small_with,small,with,25652,47128.64750381341,2.1296334983863927,10,81.7,4,393.0,0.015320442850460003,4
